service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS12024-hba14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbb14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbc14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbf14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbg14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbl14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbq14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbs14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
BUS12024-hbt14011-Weekday-02,1,1,1,1,1,0,0,20240102,20240405
Boat-F1-Weekday-Fall-23,1,1,1,1,1,0,0,20231226,20240405
Boat-F4-Saturday-Fall-23,0,0,0,0,0,1,0,20231230,20240406
Boat-F4-Sunday-Fall-23,0,0,0,0,0,0,1,20231231,20240331
Boat-F4-Weekday-Fall-23,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-NORTHSAT-Saturday-1-S6561ad1d,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-NORTHSAT-Saturday-1-S7d8482ee,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-NORTHSAT-Saturday-12,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-NORTHSAT-Saturday-12-S9f,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-NORTHSUN-Sunday-1,0,0,0,0,0,0,0,20240101,20240219
FALL 2023-NORTHSUN-Sunday-1-S6561ad1d,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-NORTHSUN-Sunday-1-S7d8482ee,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-NORTHSUN-Sunday-12,0,0,0,0,0,0,1,20231231,20240331
FALL 2023-NORTHSUN-Sunday-12-S9d378dcf,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-NORTHSUN-Sunday-13-S6561ad1d,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-NORTHSUN-Sunday-13-S7d8482ee,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-NORTHSUN-Sunday-13-S9d378dcf,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-NORTHWKD-Weekday-1,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-NORTHWKD-Weekday-1-S6561ad1d,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-NORTHWKD-Weekday-1-S7d8482ee,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-NORTHWKD-Weekday-12-S9d378dcf,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHSAT-Saturday-1,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSAT-Saturday-1-S85407dc6,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSAT-Saturday-1-S859962ef,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSAT-Saturday-1-Sb7371956,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSAT-Saturday-1-Sc9a3b080,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSAT-Saturday-1-Scbbf1ea5,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSAT-Saturday-2-Sb0e4ed14,0,0,0,0,0,1,0,20231230,20240406
FALL 2023-SOUTHSUN-Sunday-1,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-SOUTHSUN-Sunday-1-S85407dc6,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-SOUTHSUN-Sunday-1-S859962ef,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-SOUTHSUN-Sunday-1-Sb7371956,0,0,0,0,0,0,1,20231231,20240331
FALL 2023-SOUTHSUN-Sunday-1-Sc9a3b080,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-SOUTHSUN-Sunday-1-Scbbf1ea5,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-SOUTHSUN-Sunday-13,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-SOUTHSUN-Sunday-13-S85407dc6,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-SOUTHSUN-Sunday-13-S859962ef,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-SOUTHSUN-Sunday-13-Sb0e4ed14,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-SOUTHSUN-Sunday-13-Sc9a3b080,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-SOUTHSUN-Sunday-13-Scbbf1ea5,0,0,0,0,0,0,0,20231231,20231231
FALL 2023-SOUTHSUN-Sunday-2-Sb0e4ed14,0,0,0,0,0,0,1,20240101,20240331
FALL 2023-SOUTHWKD-Weekday-1,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHWKD-Weekday-1-S85407dc6,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHWKD-Weekday-1-S859962ef,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHWKD-Weekday-1-Sb7371956,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHWKD-Weekday-1-Sc9a3b080,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHWKD-Weekday-1-Scbbf1ea5,1,1,1,1,1,0,0,20231226,20240405
FALL 2023-SOUTHWKD-Weekday-14-S85407dc6,1,0,0,0,0,0,0,20240108,20240108
FALL 2023-SOUTHWKD-Weekday-14-Scbbf1ea5,1,0,0,0,0,0,0,20240108,20240108
FALL 2023-SOUTHWKD-Weekday-2-Sb0e4ed14,1,1,1,1,1,0,0,20231226,20240405
LRV12024-hlb14011-Weekday-55,1,1,1,1,1,0,0,20240129,20240405
LRV12024-hlb14016-Saturday-55,0,0,0,0,0,1,0,20240203,20240406
LRV12024-hlb14017-Sunday-01,0,0,0,0,0,0,1,20240204,20240331
LRV12024-hlm14011-Weekday-01,1,1,1,1,1,0,0,20231226,20240405
LRV124-hlb14011-Wdy-55-4840c07e,1,1,1,1,0,0,0,20240108,20240125
LRV124-hlb14011-Wdy-55-636b590a,0,0,0,0,1,0,0,20240103,20240126
LRV124-hlb14016-Sa-55-4840c07e,0,0,0,0,0,1,0,20240106,20240106
LRV124-hlb14016-Sa-55-636b590a,0,0,0,0,0,1,0,20240127,20240127
LRV124-hlb14017-Su-01-4840c07e,0,0,0,0,0,0,1,20240107,20240107
LRV124-hlb14017-Su-01-636b590a,0,0,0,0,0,0,1,20240128,20240128
MartinLutherKingDay-PresidentsDay,0,0,0,0,0,0,0,20240115,20240219
NewYearsDay,0,0,0,0,0,0,0,20240101,20240101
NewYearsEve,0,0,0,0,0,0,0,20231231,20231231
PRIV12024-hpa14011-Weekday-01,1,1,1,1,1,0,0,20231226,20240405
PRIV12024-hpa14016-Saturday-01,0,0,0,0,0,1,0,20231230,20240406
PRIV12024-hpj14011-Weekday-01,1,1,1,1,1,0,0,20231226,20240405
PRIV12024-hpj14016-Saturday-01,0,0,0,0,0,1,0,20231230,20240406
PRIV12024-hpj14017-Sunday-01,0,0,0,0,0,0,1,20240101,20240331
PRIV12024-hpp14011-Weekday-01,1,1,1,1,1,0,0,20240102,20240405
RTL12024-hmb14011-Weekday-01,1,1,1,1,1,0,0,20231226,20240405
RTL12024-hmo14011-Weekday-01,1,1,1,1,1,0,0,20231226,20240405
RTL12024-hms14011-Weekday-01,1,1,1,1,1,0,0,20231226,20240405
RTL12024-hms14017-Sunday-01,0,0,0,0,0,0,1,20240107,20240331
RTL12024-hms14pt7-Sunday-01,0,0,0,0,0,0,1,20240317,20240317
WinterSaturday,0,0,0,0,0,1,0,20231230,20240406
WinterSunday,0,0,0,0,0,0,1,20240107,20240331
WinterWeekday,0,1,1,1,1,0,0,20231226,20231229
canonical,0,0,0,0,0,0,0,20231226,20240406
