service_id,date,exception_type,holiday_name
LRV12024-hlb14011-Weekday-55,20231226,1,
LRV12024-hlb14011-Weekday-55,20231227,1,
LRV12024-hlb14011-Weekday-55,20231228,1,
LRV12024-hlb14011-Weekday-55,20231229,1,
LRV12024-hlb14016-Saturday-55,20231230,1,
FALL 2023-NORTHSUN-Sunday-13-S6561ad1d,20231231,1,New Year's Eve
FALL 2023-NORTHSUN-Sunday-13-S7d8482ee,20231231,1,New Year's Eve
FALL 2023-NORTHSUN-Sunday-13-S9d378dcf,20231231,1,New Year's Eve
FALL 2023-SOUTHSUN-Sunday-13,20231231,1,New Year's Eve
FALL 2023-SOUTHSUN-Sunday-13-S85407dc6,20231231,1,New Year's Eve
FALL 2023-SOUTHSUN-Sunday-13-S859962ef,20231231,1,New Year's Eve
FALL 2023-SOUTHSUN-Sunday-13-Sb0e4ed14,20231231,1,New Year's Eve
FALL 2023-SOUTHSUN-Sunday-13-Sc9a3b080,20231231,1,New Year's Eve
FALL 2023-SOUTHSUN-Sunday-13-Scbbf1ea5,20231231,1,New Year's Eve
NewYearsEve,20231231,1,New Year's Eve
Boat-F1-Weekday-Fall-23,20240101,2,New Year's Day
Boat-F4-Weekday-Fall-23,20240101,2,New Year's Day
FALL 2023-NORTHSUN-Sunday-1,20240101,1,New Year's Day
FALL 2023-NORTHSUN-Sunday-1-S6561ad1d,20240101,1,New Year's Day
FALL 2023-NORTHSUN-Sunday-1-S7d8482ee,20240101,1,New Year's Day
FALL 2023-NORTHSUN-Sunday-12-S9d378dcf,20240101,1,New Year's Day
FALL 2023-NORTHWKD-Weekday-1,20240101,2,New Year's Day
FALL 2023-NORTHWKD-Weekday-1-S6561ad1d,20240101,2,New Year's Day
FALL 2023-NORTHWKD-Weekday-1-S7d8482ee,20240101,2,New Year's Day
FALL 2023-NORTHWKD-Weekday-12-S9d378dcf,20240101,2,New Year's Day
FALL 2023-SOUTHSUN-Sunday-1,20240101,1,New Year's Day
FALL 2023-SOUTHSUN-Sunday-1-S85407dc6,20240101,1,New Year's Day
FALL 2023-SOUTHSUN-Sunday-1-S859962ef,20240101,1,New Year's Day
FALL 2023-SOUTHSUN-Sunday-1-Sb7371956,20240101,1,New Year's Day
FALL 2023-SOUTHSUN-Sunday-1-Sc9a3b080,20240101,1,New Year's Day
FALL 2023-SOUTHSUN-Sunday-1-Scbbf1ea5,20240101,1,New Year's Day
FALL 2023-SOUTHSUN-Sunday-2-Sb0e4ed14,20240101,1,New Year's Day
FALL 2023-SOUTHWKD-Weekday-1,20240101,2,New Year's Day
FALL 2023-SOUTHWKD-Weekday-1-S85407dc6,20240101,2,New Year's Day
FALL 2023-SOUTHWKD-Weekday-1-S859962ef,20240101,2,New Year's Day
FALL 2023-SOUTHWKD-Weekday-1-Sb7371956,20240101,2,New Year's Day
