trip_id,trip_property_id,value
59428288,note,Waits at Ashmont for last Red Line train
59428288,note,Waits at Ashmont for last Red Line train
59428288,trip_type,wait
59428480,note,Waits at Ashmont for last Red Line train
59428480,trip_type,wait
59624062,note,Waits at Ashmont for last Red Line train
59624062,note,Waits at Ashmont for last Red Line train
59624062,trip_type,wait
59668981,note,Waits at State for last Blue Line train
59668981,note,Waits at Downtown Crossing for last Red Line train
59668981,trip_type,wait
59669063,note,Waits at Downtown Crossing for last Red Line train
59669063,trip_type,wait
59669299,note,Waits at State for last Blue Line train
59669299,note,Waits at Downtown Crossing for last Red Line train
59669299,trip_type,wait
59669300,note,Waits at Downtown Crossing for last Red Line train
59669300,trip_type,wait
59724100,note,Waits at State for last Blue Line train
59724100,note,Waits at Downtown Crossing for last Red Line train
59724100,trip_type,wait
59724101,note,Waits at Downtown Crossing for last Red Line train
59724101,trip_type,wait
59724213,note,Waits at State for last Blue Line train
59724213,note,Waits at Downtown Crossing for last Red Line train
59724213,trip_type,wait
59724295,note,Waits at Downtown Crossing for last Red Line train
59724295,trip_type,wait
59729463,note,Waits at Ashmont for last Red Line train
59729463,trip_type,wait
59729656,note,Waits at Ashmont for last Red Line train
59729656,trip_type,wait
59736299,note,Waits at some downtown stations for connections
59736299,trip_type,wait
59736320,note,Waits at Government Center for last Green Line train
59736320,note,Waits at State for last Orange Line train
59736320,trip_type,wait
59736741,note,Waits at Government Center for last Green Line train
59736741,note,Waits at State for last Orange Line train
59736741,trip_type,wait
59736781,note,Waits at some downtown stations for connections
59736781,trip_type,wait
59737325,note,Waits at some downtown stations for connections
59737325,trip_type,wait
59737346,note,Waits at Government Center for last Green Line train
59737346,note,Waits at State for last Orange Line train
59737346,trip_type,wait
59737560,note,Waits at Government Center for last Green Line train
59737560,note,Waits at State for last Orange Line train
59737560,trip_type,wait
59737563,note,Waits at some downtown stations for connections
59737563,trip_type,wait
59766593,note,Waits at Downtown Crossing for last Red Line train
59766593,trip_type,wait
59766594,note,Waits at State for last Blue Line train
59766594,note,Waits at Downtown Crossing for last Red Line train
59766594,trip_type,wait
59812820,note,Waits at South Station for last Red Line train
59812820,trip_type,wait
59812991,note,Waits at Ruggles for last Orange Line train
59812991,trip_type,wait
59812993,note,Waits at Mattapan for last Mattapan Trolley train
59812993,trip_type,wait
59812997,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
59812997,trip_type,wait
59813718,note,Waits at Back Bay for last Orange Line train
59813718,trip_type,wait
59813909,note,Waits at South Station for last Red Line train
59813909,trip_type,wait
59818231,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
59818231,trip_type,wait
59818362,note,Waits at Mattapan for last Mattapan Trolley train
59818362,trip_type,wait
59818382,note,Waits at Ruggles for last Orange Line train
59818382,trip_type,wait
59818613,note,Waits at South Station for last Red Line train
59818613,trip_type,wait
59818918,note,Waits at Back Bay for last Orange Line train
59818918,trip_type,wait
59819167,note,Waits at South Station for last Red Line train
59819167,trip_type,wait
59952650,note,Waits at some downtown stations for connections
59952650,trip_type,wait
59952809,note,Waits at some downtown stations for connections
59952809,trip_type,wait
59953313,note,Waits at Park Street for last Red Line and Green Line trains
59953313,trip_type,wait
59953460,note,Waits at some downtown stations for connections
59953460,trip_type,wait
59953921,note,Waits at some downtown stations for connections
59953921,trip_type,wait
59953937,note,Waits at some downtown stations for connections
59953937,trip_type,wait
59954367,note,Waits at some downtown stations for connections
59954367,trip_type,wait
59954551,note,Waits at Government Center for last Green Line train
59954551,note,Waits at State for last Orange Line train
59954551,trip_type,wait
59959119,note,Waits at some downtown stations for connections
59959119,trip_type,wait
59959278,note,Waits at some downtown stations for connections
59959278,trip_type,wait
59959782,note,Waits at Park Street for last Red Line and Green Line trains
59959782,trip_type,wait
59959929,note,Waits at some downtown stations for connections
59959929,trip_type,wait
59960390,note,Waits at some downtown stations for connections
59960390,trip_type,wait
59960406,note,Waits at some downtown stations for connections
59960406,trip_type,wait
60063287,note,Waits at Andrew for last Red Line train
60063287,trip_type,wait
60063490,note,Waits at Ashmont for last Red Line train
60063490,trip_type,wait
60063534,note,Waits at W Broadway @ Broadway Station for last Red Line train
60063534,trip_type,wait
60063696,note,Waits at Massachusetts Ave @ Pearl St for last Red Line train
60063696,trip_type,wait
60063771,note,Waits at W Broadway @ Broadway Station for last Red Line train
60063771,trip_type,wait
60063772,note,Waits at Boylston St @ Dartmouth St for last Green Line train
60063772,trip_type,wait
60064179,note,Waits at Nubian for last Silver Line bus
60064179,trip_type,wait
60064180,note,Waits at Nubian for last Silver Line bus
60064180,trip_type,wait
60064268,note,Waits at Forest Hills for last Orange Line train
60064268,trip_type,wait
60064483,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
60064483,trip_type,wait
60064582,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
60064582,trip_type,wait
60064871,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
